序号,代码,名称,最新价,今日主力净占比 %,今日排名,今日涨跌 %,5日主力净占比 %,5日排名,5日涨跌 %,10日主力净占比 %,10日排名,10日涨跌 %,所属板块,板块代码
239,300005,探路者,7.35,8.32,239,3.52,4.47,256,2.37,4.6,115,0.68,纺织服装,BK0436
240,600388,龙净环保,10.58,8.26,240,3.32,0.78,893,4.75,-3.13,2103,1.83,机械行业,BK0545
241,600419,天润乳业,15.2,8.24,241,1.81,5.33,191,5.34,-1.51,1385,2.7,食品饮料,BK0438
242,002358,森源电气,5.12,8.23,242,1.59,2.32,556,3.02,-4.34,2635,0.99,输配电气,BK0457
243,000590,启迪古汉,10.15,8.23,243,1.7,3.08,427,3.89,2.27,300,6.06,医药制造,BK0465
244,002802,洪汇新材,28.68,8.21,244,0.63,7.98,86,8.55,9.09,27,7.98,化工行业,BK0538
245,600532,宏达矿业,13.55,8.18,245,2.96,6.68,125,1.19,5.9,76,1.65,钢铁行业,BK0479
246,600743,华远地产,2.25,8.09,246,-0.88,4.31,272,-0.44,3.53,184,0.45,房地产,BK0451
247,003003,天元股份,18.17,8.07,247,4.49,2.52,521,10.19,1.93,348,9.79,造纸印刷,BK0470
248,002471,中超控股,2.72,8.06,248,1.49,-6.85,3395,2.64,-12.74,4141,-2.86,输配电气,BK0457
249,300433,蓝思科技,33.46,8.04,249,2.04,-1.25,1610,1.95,0.73,573,8.35,材料行业,BK0537
250,603690,至纯科技,37.32,8.03,250,3.7,1.33,764,2.05,2.64,259,6.17,专用设备,BK0910
